[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,D05042,"追掛b:残留"
,D05055,"aウォーム完了温度"
,D05056,"bウォーム完了温度"
,D05092,"バルブ監視時間"
,D05093,"蓄熱完了継続時間"
,D05094,"蓄熱完了遅延時間"
,D05095,"放熱完了継続時間"
,D05096,"放熱完了遅延時間"
,D05097,"aウォーム完了継続時間"
,D05098,"bウォーム完了継続時間"
,D05131,"放熱b:残留温度"
,D05132,"凍結温度:追"
,D05133,"凍結タイマー設定:追"
,D05134,"出力:*0.1%/s"
,I00001,"Δtﾁｪｯｸ"
,I00005,"1分ｻｲｸﾙ"
,I00011,"FY211 PV=0"
,I00012,"FY211 SUM=0"
,I00013,"FY221 PV=0"
,I00014,"FY221 SUM=0"
,I00015,"FY231 PV=0"
,I00016,"FY231 SUM=0"
,I00017,"FY241 PV=0"
,I00018,"FY241 SUM=0"
,I00019,"FY301 PV=0"
,I00020,"FY301 SUM=0"
,I00021,"FY401 PV=0"
,I00022,"FY401 SUM=0"
,I00041,"HEX-BTa凍結温度警報1"
,I00042,"HEX-BTb凍結温度警報2"
,I00043,"HEX-ITa凍結温度警報3"
,I00044,"HEX-ITb凍結温度警報4"
,I00045,"凍結異常"
,I00046,"蓄熱完了"
,I00050,"R-BTa蓄熱運転停止/手動"
,I00051,"R-BTb蓄熱運転停止/手動"
,I00052,"R-BTa蓄熱運転停止/中央"
,I00053,"R-BTb蓄熱運転停止/中央"
,I00054,"蓄熱運転選択"
,I00060,"R-BTa蓄熱禁止"
,I00061,"(SP-BTa)故障"
,I00062,"(SP-BTb)故障"
,I00063,"R-BTb蓄熱禁止"
,I00070,"蓄熱運転1開始"
,I00071,"蓄1MV開指令"
,I00072,"XCV-301/302 開"
,I00073,"蓄1閉ﾘﾐｯﾄ OK1"
,I00074,"蓄1閉ﾘﾐｯﾄ OK2"
,I00075,"蓄1MV切替完了"
,I00076,"R-BTa蓄熱バルブ切換失敗"
,I00077,"蓄R-BTa,SP-BTa ON"
,I00080,"蓄熱運転2開始"
,I00081,"蓄2MV開指令"
,I00082,"蓄2閉ﾘﾐｯﾄ OK"
,I00083,"蓄2閉ﾘﾐｯﾄ OK1"
,I00084,"蓄2閉ﾘﾐｯﾄ OK2"
,I00085,"蓄2MV切替完了"
,I00086,"R-BTb蓄熱バルブ切換失敗"
,I00087,"蓄R-BTb,SP-BTb ON"
,I00090,"蓄1運転 ｱﾘ"
,I00091,"蓄2運転 ｱﾘ"
,I00100,"放熱完了"
,I00110,"手動放熱a系"
,I00111,"手動放熱b系"
,I00112,"R-BTa放熱運転停止/中央"
,I00113,"R-BTb放熱運転停止/中央"
,I00114,"放熱運転選択"
,I00121,"(PP-ITa)(P-ITa)故障"
,I00122,"(PP-ITb)(P-ITb)故障"
,I00130,"放運転1開始"
,I00131,"放1MV開指令"
,I00132,"放1開ﾘﾐｯﾄ OK"
,I00133,"放1閉ﾘﾐｯﾄ OK1"
,I00134,"放1閉ﾘﾐｯﾄ OK2"
,I00135,"放1MV切替完了"
,I00136,"R-BTa放熱バルブ切換失敗"
,I00137,"PPITa放熱ON"
,I00140,"放運転2開始"
,I00141,"放2MV開指令"
,I00142,"放2開ﾘﾐｯﾄ OK"
,I00143,"放2閉ﾘﾐｯﾄ OK1"
,I00144,"放2閉ﾘﾐｯﾄ OK2"
,I00145,"放2MV切替完了"
,I00146,"R-BTb放熱バルブ切換失敗"
,I00147,"PPITb放熱ON"
,I00150,"放2運転 ｱﾘ"
,I00151,"放1運転 ｱﾘ"
,I00180,"手動追掛a系"
,I00181,"手動追掛b系"
,I00182,"R-BTa追掛運転停止/中央"
,I00183,"R-BTb追掛運転停止/中央"
,I00191,"追掛用冷水P(P-BTa)故障"
,I00192,"追掛用(P-BTb)故障"
,I00193,"a凍結AL 追掛"
,I00194,"b凍結AL 追掛"
,I00200,"追掛運転1開始"
,I00201,"追1MV開指令"
,I00202,"追1開ﾘﾐｯﾄ OK"
,I00203,"追1閉ﾘﾐｯﾄ OK1"
,I00204,"追1MV切替完了"
,I00205,"追1MV切替失敗"
,I00207,"追SP-BTa ON"
,I00210,"追1ｳｫｰﾑ完了"
,I00211,"追1ｳｫｰﾑ完了MV切替"
,I00212,"XCV-303/TCV-302　開"
,I00213,"TCV-301　閉"
,I00214,"XCV-303/TCV-302開TCV-301閉"
,I00215,"追1MV切替失敗"
,I00216,"追RBTa ON"
,I00217,"追1ｳｫｰﾑMV復帰"
,I00218,"追P-BTa ON"
,I00219,"追P-BTb ON"
,I00230,"追掛運転2開始"
,I00231,"追2MV開指令"
,I00232,"追2開ﾘﾐｯﾄ OK"
,I00233,"追2閉ﾘﾐｯﾄ OK1"
,I00234,"追2MV切替完了"
,I00235,"追2MV切替失敗"
,I00237,"追SP-BTb ON"
,I00240,"追2ｳｫｰﾑ完了"
,I00241,"追2ｳｫｰﾑ完了MV切替"
,I00242,"XCV-403/TCV-402　開"
,I00243,"TCV-401　閉"
,I00244,"XCV-403/TCV-402開TCV-401閉"
,I00245,"追2MV切替失敗"
,I00246,"追RBTb ON"
,I00247,"追2ｳｫｰﾑMV復帰"
,I00301,"氷蓄熱制御シ-ケンサ異常"
,I00305,"b停止条件1 OK"
,I00306,"b停止条件2 OK"
,I00307,"PPITb残留停止"
,I00308,"a停止条件1 OK"
,I00309,"a停止条件2 OK"
,I00310,"PPITa残留停止"
,I02001,"X00201運転切替手元"
,I02002,"X00202氷蓄熱制御盤中央/手元"
,I02003,"X00203蓄熱運転a系"
,I02004,"X00204放熱運転a系"
,I02005,"X00205追掛運転a系"
,I02006,"X00206蓄熱運転b系"
,I02007,"X00207放熱運転b系"
,I02008,"X00208追掛運転b系"
,I02009,"X00209異常リセット"
,I02017,"Y00301膨張TANK満水"
,I02018,"Y00302膨張TANK減水"
,I02019,"Y00303蓄熱完了"
,I02020,"Y00304放熱完了"
,I02021,"Y00305システム異常"
,I02031,"X00701ＲＢＴａ圧縮機Ｎｏ１運転"
,I02032,"X00702RBTa:AL"
,I02033,"X00703(SP-BTa-1)状態"
,I02034,"X00704(SP-BTa-1)故障"
,I02035,"X00705(SP-BTa-2)状態"
,I02036,"X00706(SP-BTa-2)故障"
,I02037,"X00707(SP-BTa-3)状態"
,I02038,"X00708(SP-BTa-3)故障"
,I02039,"X00709放熱用(PP-ITa-1)状態"
,I02040,"X00710放熱用(PP-ITa-1)故障"
,I02041,"X00711放熱用(PP-ITa-2)状態"
,I02042,"X00712放熱用(PP-ITa-2)故障"
,I02043,"X00713追掛用冷水P(P-BTa-1)状態"
